Round,Player1,Player1_Deck,Player1_Wins,Player2,Player2_Deck,Player2_Wins,Draws,IsBye,Result
1,Eric Shoopman,Gruul Landfall,2,Mtgdrip,Four-Color  Control,1,0,False,Eric Shoopman won 2-1-0
1,IsaakWard,Izzet Prowess,2,ParH3,Five-Color Rhythm,1,0,False,IsaakWard won 2-1-0
1,Albert Liao,Dimir Oculus,2,Lamario Harris,Four-Color Control,1,0,False,Albert Liao won 2-1-0
1,Alex Poulosky,Izzet Prowess,2,Riley Grogan,Azorius Tempo,0,0,False,Alex Poulosky won 2-0-0
1,Bryan McCord,Four-Color Control,1,Devon Straub,Dimir Excruciator,2,0,False,Devon Straub won 2-1-0
1,Carl Cantrell,Mono-Green Landfall,1,kwin,Dimir Excruciator,2,0,False,kwin won 2-1-0
1,Michael Martin,Izzet Spellementals,0,LEE STEHT,Grixis Elementals,2,0,False,LEE STEHT won 2-0-0
1,Simon Kamerow,Boros Dragons,1,Will Lowry,Selesnya Rhythm,2,0,False,Will Lowry won 2-1-0
1,Andrew Hakenewerth,Izzet Lessons,1,MTGFamily,Temur Harmonizer,2,0,False,MTGFamily won 2-1-0
1,Michael Madsen,Izzet Elementals,1,Mark Zmolek,Boros Dragons,2,0,False,Mark Zmolek won 2-1-0
1,ChrisSalguero,Temur Rhythm,2,njkong,Azorius Tempo,1,0,False,ChrisSalguero won 2-1-0
1,m4v3n,Gruul Landfall,1,Michael DeBenedetto-Plummer,Dimir Excruciator,2,0,False,Michael DeBenedetto-Plummer won 2-1-0
1,Jon Wilkins,Dimir Excruciator,2,Benjamin Cohen,Azorius Tempo,0,0,False,Jon Wilkins won 2-0-0
1,Matt Engelbart,Azorius Tempo,2,Robert Strong-Morse,Simic Rhythm,1,0,False,Matt Engelbart won 2-1-0
1,Brett Eischens,Simic Rhythm,2,Logan Boone,Izzet Elementals,1,0,False,Brett Eischens won 2-1-0
1,JonahR,Izzet Spellementals,2,Jason Ye,Four-Color Midrange,1,0,False,JonahR won 2-1-0
1,rick schaffer,Azorius Otters,2,rprince6582,Sultai Rhythm,1,0,False,rick schaffer won 2-1-0
1,Kaleb Weir,Mono-Red Aggro,2,Zach Flynn,Izzet Lessons,1,0,False,Kaleb Weir won 2-1-0
1,Ben Kill,Mono-Black Midrange,2,Benji Leaf,Rakdos Monument,1,0,False,Ben Kill won 2-1-0
1,ZacS17,Azorius Tempo,2,Michael Freeman,Bant Airbending,0,0,False,ZacS17 won 2-0-0
1,Sean Murdoch,Jeskai Control,0,Quintin Myers,Simic Rhythm,2,0,False,Quintin Myers won 2-0-0
1,obscurity,Izzet Prowess,0,William Dou,Izzet Lessons,2,0,False,William Dou won 2-0-0
1,Caleb Burke,Mono-Green Landfall,0,Vasilios Morikis,Mono-Green Landfall,2,0,False,Vasilios Morikis won 2-0-0
1,Zach Brown,Azorius Tempo,1,zachcampion02,Jeskai Control,2,0,False,zachcampion02 won 2-1-0
1,Levi Gaines,Boros Dragons,2,Aiden Lum,Mono-Green Landfall,0,0,False,Levi Gaines won 2-0-0
1,Hunter Ovington,Mono-Green Landfall,2,Nathan Goldberg,Simic Rhythm,1,,False,Hunter Ovington won 2-1-0
1,DarB14,Boros Dragons,1,Jackisch,Dimir Midrange,2,0,False,Jackisch won 2-1-0
1,Cody Johnson,Rakdos Monument,0,Toothy,Simic Rhythm,2,0,False,Toothy won 2-0-0
1,Sweetpotato,Izzet Elementals,1,Tyler Rebhahn,Dimir Excruciator,2,0,False,Tyler Rebhahn won 2-1-0
1,Robert Boyer,Mono-Green Landfall,1,Andrew Sullano,Izzet Lessons,2,0,False,Andrew Sullano won 2-1-0
1,TJ Rataiczak,Izzet Lessons,1,Benjamin Holdren,Simic Rhythm,2,0,False,Benjamin Holdren won 2-1-0
1,Mirra Berglund,Azorius Tempo,0,Ivan Espinosa,Bant Airbending,2,0,False,Ivan Espinosa won 2-0-0
1,Dana Fischer,Mono-Green Landfall,2,Lunafear,Mono-Green Landfall,0,0,False,Dana Fischer won 2-0-0
1,Bodie Bice,Simic Rhythm ,1,Joshua Fulger,Bant Airbending,2,0,False,Joshua Fulger won 2-1-0
1,Jack Weiss,Mono-Green Landfall,2,Jacob Lamothe,Izzet Spellementals,1,0,False,Jack Weiss won 2-1-0
1,Justin Crozier,Izzet Spellementals,0,Chris Dexter,Mono-Green Landfall,2,0,False,Chris Dexter won 2-0-0
1,Ethan Kolby,Izzet Lessons,2,Sean Zhou,Mono-Green Landfall,1,,False,Ethan Kolby won 2-1-0
1,John Tagliarini,Izzet Lessons,2,richard adams,Izzet Spellementals,0,0,False,John Tagliarini won 2-0-0
1,Pedro da Silva,Dimir Midrange,1,Andrew Skorik,Boros Dragons,2,0,False,Andrew Skorik won 2-1-0
1,Amir Momin,Izzet Prowess,2,Newton Cheng,Four-Color Rhythm,0,0,False,Amir Momin won 2-0-0
1,SkyB1,Jeskai Control,0,Graham Tarling,Gruul Landfall,2,0,False,Graham Tarling won 2-0-0
1,Daniel Miller,Izzet Lessons,2,Jason Qiu,Temur Harmonizer,0,0,False,Daniel Miller won 2-0-0
1,Mac Blanchard,Izzet Spellementals,1,Ryan Normandin,Dimir Combo,2,0,False,Ryan Normandin won 2-1-0
1,gilfordvj,Bant Airbending,2,Kenoa06,Temur Rhythm,1,0,False,gilfordvj won 2-1-0
1,Maxx Kominowski,Izzet Lessons,2,Charles Greene,Dimir Midrange,0,0,False,Maxx Kominowski won 2-0-0
1,William Hahn,Temur Harmonizer,1,Carlos Orengo,Izzet Spellementals,2,0,False,Carlos Orengo won 2-1-0
1,James Newman,Simic Rhythm,2,Tim Wilson,Mono-Green Landfall,0,0,False,James Newman won 2-0-0
1,Drew Herr,Simic Rhythm,2,Ryan Overturf,Izzet Prowess,0,0,False,Drew Herr won 2-0-0
1,Peregrine Higgins,Sultai Reanimator,0,Joseph Pastore,Simic Rhythm,2,0,False,Joseph Pastore won 2-0-0
1,joesmoe12,Azorius Tempo,1,Rayon,Azorius Control,1,0,False,1-1-0 Draw
1,Dylan Liebert,Simic Rhythm,2,Richard Nealston,Grixis Elementals,1,0,False,Dylan Liebert won 2-1-0
1,TimCambre,Dimir Midrange,2,Curtis Eslami,Simic Rhythm,1,0,False,TimCambre won 2-1-0
1,Luce Sedania,Azorius Tempo,2,savagegalaxy,Boros Monument,1,0,False,Luce Sedania won 2-1-0
1,Brian Rogers,Izzet Lessons,2,Marlee Shafer,Boros Dragons,0,0,False,Brian Rogers won 2-0-0
1,Zac Landis,Simic Rhythm ,0,Zane Toledo,Izzet Spellementals,2,0,False,Zane Toledo won 2-0-0
1,Cormac_Manahan,Bant Airbending,2,LoganHesch,Bant Airbending,0,0,False,Cormac_Manahan won 2-0-0
1,John Wager,Izzet Spellementals,2,Adam Fischer,Mono-Green Landfall,1,0,False,John Wager won 2-1-0
1,Joe Doyle,Rakdos Aggro,0,marcobjorge,Izzet Lessons,2,0,False,marcobjorge won 2-0-0
1,Parker Goff,Dimir Excruciator,0,Burke Methena,Azorius Tempo,2,0,False,Burke Methena won 2-0-0
1,Glendon Parker,Azorius Tempo,2,PatP23,Izzet Elementals,1,0,False,Glendon Parker won 2-1-0
1,Carolyn Pardee,Simic Rhythm,0,Adam Bruce,Dimir Excruciator,2,0,False,Adam Bruce won 2-0-0
1,Mark Lemons,Simic Rhythm,2,Nick Mincucci,Mono-Green Landfall,0,0,False,Mark Lemons won 2-0-0
1,Nicholas Giallorenzi,Azorius Tempo,2,George Funk,Dimir Midrange,1,0,False,Nicholas Giallorenzi won 2-1-0
1,Rebecca Hunter,Izzet Elementals,0,Michael Almasy,Izzet Spellementals,2,0,False,Michael Almasy won 2-0-0
1,Eli Mizock,Grixis Monument,0,BenFischer,Simic Landfall,2,0,False,BenFischer won 2-0-0
1,Elle Ashby,Izzet Prowess,0,Keegan Wolohan,Izzet Spellementals,2,0,False,Keegan Wolohan won 2-0-0
1,Jeffery Elmore,Azorius Tempo,2,Mike Egan,Grixis Elementals,0,0,False,Jeffery Elmore won 2-0-0
1,Tariq Patel,Izzet Prowess,2,Brantley Lockwood,Izzet Prowess,1,0,False,Tariq Patel won 2-1-0
1,krhadley17,Jeskai Control,2,Matthewzekas,Jeskai Control,0,0,False,krhadley17 won 2-0-0
1,JeanCastillo,Golgari Rhythm,0,Jacob Durish,Four-Color Control,2,0,False,Jacob Durish won 2-0-0
1,matthew westwood,Rakdos Monument,1,Kougadm,Mono-Green Landfalls,2,0,False,Kougadm won 2-1-0
1,David Kaufman-Bell,Mono-Red Aggro,0,Sam Zakrzewski,Sultai Reanimator,2,0,False,Sam Zakrzewski won 2-0-0
1,Ted Loewenthal,Mono-Green Landfall,2,TannerM1618,Izzet Prowess,1,0,False,Ted Loewenthal won 2-1-0
1,Edward Halbe,Izzet Elementals,1,Teddy Froelich,Dimir Midrange,2,0,False,Teddy Froelich won 2-1-0
1,Majortuna,Gruul Landfall,2,Benjamin Hewitt,Izzet Blink,0,0,False,Majortuna won 2-0-0
1,Abner Herrera,Golgari Midrange,1,Michael Hobbs,Jeskai Control,2,0,False,Michael Hobbs won 2-1-0
1,Evan Kerr,W-U-B-G Midrange,0,Slavisa Tosanovic,Dimir Bounce,2,0,False,Slavisa Tosanovic won 2-0-0
1,Morgan Hillman,Izzet Prowess,0,Christopher Kral,Azorius Tempo,2,0,False,Christopher Kral won 2-0-0
1,Gavin Meagher,Izzet Prowess,2,Ilya Goussev,Izzet Lessons,1,0,False,Gavin Meagher won 2-1-0
1,Paul Green,Izzet Spellementals,2,Masterskywalker,Esper Control,0,0,False,Paul Green won 2-0-0
1,William Grogan,Mono-Green Landfall,0,john norman,Mono-Red Aggro,2,0,False,john norman won 2-0-0
1,Tyler Steinwand,Izzet Elementals,2,william mccurdy,Esper Control,1,0,False,Tyler Steinwand won 2-1-0
1,John Mayes,Mono-Green Landfall,2,Johnathan Goanos,Izzet Elementals,1,0,False,John Mayes won 2-1-0
1,NathanielA,Dimir Excruciator,0,Christopher Turnbull,Izzet Lessons,2,0,False,Christopher Turnbull won 2-0-0
1,Josh Vaughan,Boros Aggro,0,John Puglisi Clark,Mono-Green Landfall,2,0,False,John Puglisi Clark won 2-0-0
1,CJ Strickland45,Gruul Random Encounter,0,Jay T,Temur Harmonizer,2,0,False,Jay T won 2-0-0
1,JellemaDilemma,Grixis Elementals,0,Jonathan Stange,Boros Dragons,2,0,False,Jonathan Stange won 2-0-0
1,Haven Gilbert-Avila,Dimir Midrange,2,Frank K,Azorius Control,1,0,False,Haven Gilbert-Avila won 2-1-0
1,Bobbi Jo Midkiff,Dimir Midrange,0,Talonflame23185,Mono-Green Landfall,2,0,False,Talonflame23185 won 2-0-0
1,GimmedatShhh,Simic Rhythm,1,jaroach3,Jeskai Oculus,2,0,False,jaroach3 won 2-1-0
1,AJ Byrkett,Izzet Prowess,2,TylerW,Simic Rhythm,1,,False,AJ Byrkett won 2-1-0
1,Jacob DuBois,Bant Airbending,2,Alec Simmers,Boros Aggro,1,0,False,Jacob DuBois won 2-1-0
1,S4rkh4nUnbr0k3n,Orzhov Control,1,Evan Higgins,Izzet Spellementals,2,0,False,Evan Higgins won 2-1-0
1,djstillio,Izzet Lessons,2,Nicholas Anderson,Golgari Midrange,0,0,False,djstillio won 2-0-0
1,Ronan Armstrong,Izzet Spellementals,2,NSingman,Simic Rhythm,1,0,False,Ronan Armstrong won 2-1-0
1,Jackson McMillan,Gruul Landfall,2,Darkonekosuke,Mono-Green Landfall,1,0,False,Jackson McMillan won 2-1-0
1,Jorbet,Sultai Elementals,0,Will Harms,Dimir Midrange,2,0,False,Will Harms won 2-0-0
1,Nathanael Perigo,Temur Harmonizer,2,Remington Rice,Jeskai Control,1,0,False,Nathanael Perigo won 2-1-0
1,JodyK,Bant Omniscience,0,samzin,Dimir Midrange,2,0,False,samzin won 2-0-0
